#,Short Name,Full Title,Authors,Venue,CORE Rank,Year,Cluster,Key Contribution,Methodology,LLM Used,Key Results,Shortcomings,Future Steps (per paper),Role in RepairA11y
17,ChatRepair,ChatRepair: A Chat-Based Automated Program Repair Approach,"Xia C.S.; Zhang L.",ISSTA,A,2024,C4 — APR,Conversational LLM repair with iterative test-failure re-prompting loop,ChatGPT + failing test messages + iterative re-prompting until pass,ChatGPT / GPT-4,Outperforms all static APR tools on standard benchmarks,Test oracle required; general programs only; not accessibility,Loop without test oracle; a11y-domain adaptation,Justifies RQ3 iterative loop design — conversational loop improves repair
18,Xia et al. 2023,Automated Program Repair in the Era of Large Pre-trained Language Models [VERIFY TITLE],"Xia C.S. et al.",ICSE [VERIFY VENUE],A*,2023,C4 — APR,Survey/analysis: LLMs outperform classical APR on diverse bug types,Survey + meta-analysis of LLM APR systems across benchmarks,Multiple LLMs surveyed (Codex; GPT; InCoder),LLM > rule-based on varied and complex cases; context quality key,Survey only; no a11y; no runtime evidence analysis,LLM + domain-specific context; runtime evidence for dynamic violations,Justifies LLM generator choice over pure rule-based approach
19,Sobania et al. 2023,An Analysis of the Automatic Bug Fixing Performance of ChatGPT,"Sobania D. et al.",arXiv / IEEE Workshop [VERIFY VENUE],Preprint,2023,C4 — APR,ChatGPT fixes 13/40 Defects4J bugs zero-shot; establishes zero-shot baseline,ChatGPT (GPT-3.5) + Defects4J benchmark; zero-shot prompting,ChatGPT (GPT-3.5),13/40 (32.5%) zero-shot resolution,GPT-3.5 era; general programs; no context enrichment,Context-enriched prompting; newer models; domain-specific repair,Zero-shot LLM repair capability baseline — LLM needs no fine-tuning
20,Ahmed et al. 2023,Better Patching Using LLM Prompting via Self-Consistency,"Ahmed T. et al.",arXiv:2306.00108,Preprint,2023,C4 — APR,Self-consistency voting over multiple LLM patch samples improves final patch selection,Multiple LLM samples (N=10-20) + consistency voting for best patch,"Codex; GPT",Better patch selection than single sample; reduces stochastic variance,General APR; not accessibility; voting overhead,Domain-specific self-consistency for a11y repair,Justifies 3-trial methodology at pinned temperature in RQ2 reproducibility design
21,ScaleFix,ScaleFix: Automated Repair of UI Scaling Accessibility Issues in Android Apps,"Alotaibi B.; Chiou R.; Halfond W.",ICSME,A,2023,C4 — APR,Rule-based repair of Android touch-target size violations; 99% resolution rate,Rule-based static analysis + size constraint solving (no LLM),None,99% resolution rate on targeted violation class,Android only; size violations only; not CSS focus-state; not web,Web CSS property-level repair; other SC-specific rule-based generators,Design pattern precedent — rule-based SC-specific generator is viable (supports SC 2.4.13 generator)
22,Kang et al. 2023,LLM-Based Fault Localization and Repair [VERIFY EXACT TITLE — ICSE 2023],"Kang S. et al. [VERIFY FULL AUTHORS]",ICSE,A*,2023,C5 — Evidence,Precise fault localization significantly increases LLM repair quality,LLM + fault localization quality measurement across benchmarks,LLM (GPT family),FL quality directly correlates with repair success rate,General APR; not a11y; not runtime fault localization,Runtime evidence as FL signal; a11y-specific FL,Theoretical grounding — runtime evidence = better fault localization = better repair
23,Nashid CEDAR 2023,Retrieval-Based Prompt Selection for Code-Related Few-Shot Learning,"Nashid N. et al.",ICSE,A*,2023,C5 — Evidence,Correct context retrieval (CEDAR) produces better LLM repairs than random or no context,"RAG (BM25 + embedding retrieval) + few-shot code repair prompting","Codex; GPT",Context quality correlates directly with patch quality; retrieval > random examples,General code repair; no runtime context; not a11y,Runtime evidence retrieval for focus violation context,Evidence quality → patch quality — directly justifies E3/E4 runtime evidence levels
24,Feng PromptAPR 2023,PromptAPR: Improving APR with ChatGPT through Prompt Optimization [VERIFY TITLE+VENUE],"Feng Y. et al. [VERIFY FULL AUTHORS]",arXiv [VERIFY],Preprint,2023,C5 — Evidence,Prompt structure and evidence selection affects repair rate by 30-40%,Systematic prompt ablation study on APR benchmarks,ChatGPT,30-40% variation in repair rate from prompt design alone,General APR; no runtime analysis; not a11y,Structured a11y-specific prompting templates; runtime evidence prompts,Theoretical grounding for E1-E4 ablation study — confirms evidence structure matters
25,Pearce et al. 2023,Examining Zero-Shot Vulnerability Repair with Large Language Models,"Pearce H. et al.",IEEE S&P,A*,2023,C5 — Evidence,Domain-specific vulnerability context critical for correct LLM repair; context > zero-shot,LLM + vulnerability context enrichment (CVE data + CWE descriptions),"GPT-3; GPT-4",Context-aware prompts outperform zero-shot for security bug repair,Security domain; not accessibility; no runtime state,Domain-specific context for other repair tasks (a11y focus violations),Domain-specific runtime context improves LLM repair — supports E3 runtime evidence value
26,Cerovic et al. 2025,When LLM-Generated Code Perpetuates UI Accessibility Barriers - How Can We Break the Cycle?,"Cerovic A. et al.",W4A,B,2025,C5 — Evidence,LLMs (Copilot; ChatGPT) introduce new a11y violations in generated UI code — ARIA misuse + focus management failures,"Code generation + axe-core post-generation audit; 2-phase study","GitHub Copilot; ChatGPT",LLMs not reliable for safe a11y code without verification step,No repair pipeline; generation-only study; axe-core bounded,Verification-integrated repair; WCAG-aware code generation,Justifies Stage 5 verification in RepairA11y — LLM patches can introduce new violations
27,Ball 1999,The Concept of Dynamic Analysis,"Ball T.",TOPLAS / ESOP 1999 [VERIFY EXACT VENUE],A*,1999,C6 — Theory,Dynamic analysis captures runtime behaviors provably unreachable by any static analysis,Theoretical analysis + formal argument + examples,None,Foundation theorem: static ≠ dynamic analysis — different information classes,Theoretical; not applied to accessibility or repair,Apply dynamic analysis to CSS computed-style and web interaction analysis,Core theory — static evidence cannot recover CSS computed-state; runtime evidence is different class
28,Ernst et al. Daikon 2007,The Daikon System for Dynamic Detection of Likely Invariants,"Ernst M.D. et al.",SCP Elsevier [VERIFY FULL TITLE],B [VERIFY],2007,C6 — Theory,Runtime invariants reveal program properties static analysis cannot derive; Daikon tool,Dynamic instrumentation + invariant mining over execution traces,None,Daikon widely used; runtime data reveals different properties than static,Not accessibility; not repair; general programs,Runtime style invariants for focus-state detection,Runtime data is different information class — not richer static; supports E3 evidence argument
29,W3C CSS Cascade,CSS Cascading and Inheritance Level 4,W3C CSS Working Group,W3C Standard,N/A,Ongoing,C6 — Theory,Computed styles depend on cascade/inheritance/specificity/JS mutation — not recoverable from HTML source,Normative specification,None,Formal CSS cascade model — computed style is a runtime artifact,Spec only; no tooling,Runtime style capture tooling; CSS cascade-aware static analysis,Why outerHTML is insufficient — cascade requires runtime capture to determine focus-state styles
